"X" "chr" "start" "end" "strand" "gene.name" "center" "loci_group" "OR_cluster" "class"
"230" 1307567 "chr13" 21636623 21642518 "-" "Olfr11" 21639570.5 "chr13_1" "OR-Cluster-18" "II"
"231" 1307583 "chr13" 21656880 21663386 "-" "Olfr1361" 21660133 "chr13_1" "OR-Cluster-18" "II"
"232" 1307599 "chr13" 21673431 21677405 "-" "Olfr1360" 21675418 "chr13_1" "OR-Cluster-18" "II"
"233" 1307625 "chr13" 21698111 21706833 "+" "Olfr1359" 21702472 "chr13_1" "OR-Cluster-18" "II"
"234" 1336736 "chr13" 65138089 65146047 "+" "Olfr465-ps1" 65142068 "chr13_2" "OR-Cluster-19" "II"
"235" 1336750 "chr13" 65150240 65156152 "+" "Olfr466" 65153196 "chr13_2" "OR-Cluster-19" "II"
"236" 1357321 "chr13" 106197216 106197771 "-" "Olfr717-ps1" 106197493.5 "chr13_3" NA "II"
"237" 1368949 "chr14" 14171738 14186838 "-" "Olfr720" 14179288 "chr14_2" "OR-Cluster-20" "II"
"238" 1369012 "chr14" 14322828 14331791 "+" "Olfr31" 14327309.5 "chr14_2" "OR-Cluster-20" "II"
"239" 1369169 "chr14" 14401298 14410095 "+" "Olfr721-ps1" 14405696.5 "chr14_2" "OR-Cluster-20" "II"
"240" 1399798 "chr14" 49894258 49901999 "-" "Olfr722" 49898128.5 "chr14_1" "OR-Cluster-21" "II"
"241" 1399811 "chr14" 49928563 49931787 "-" "Olfr723" 49930175 "chr14_1" "OR-Cluster-21" "II"
"242" 1399828 "chr14" 49960023 49963274 "-" "Olfr724" 49961648.5 "chr14_1" "OR-Cluster-21" "II"
"243" 1399848 "chr14" 50034314 50040375 "-" "Olfr725" 50037344.5 "chr14_1" "OR-Cluster-21" "II"
"244" 1399870 "chr14" 50083570 50090953 "-" "Olfr726" 50087261.5 "chr14_1" "OR-Cluster-21" "II"
"245" 1399952 "chr14" 50123186 50128746 "+" "Olfr727" 50125966 "chr14_1" "OR-Cluster-21" "II"
"246" 1399971 "chr14" 50133758 50142680 "-" "Olfr728" 50138219 "chr14_1" "OR-Cluster-21" "II"
"247" 1400002 "chr14" 50144731 50152910 "-" "Olfr729" 50148820.5 "chr14_1" "OR-Cluster-21" "II"
"248" 1400040 "chr14" 50183296 50188198 "-" "Olfr730" 50185747 "chr14_1" "OR-Cluster-21" "II"
"249" 1400057 "chr14" 50233531 50241866 "-" "Olfr731" 50237698.5 "chr14_1" "OR-Cluster-21" "II"
"250" 1400085 "chr14" 50278473 50284206 "-" "Olfr732" 50281339.5 "chr14_1" "OR-Cluster-21" "II"
"251" 1400102 "chr14" 50295891 50301522 "-" "Olfr733" 50298706.5 "chr14_1" "OR-Cluster-21" "II"
"252" 1400143 "chr14" 50316506 50326761 "-" "Olfr734" 50321633.5 "chr14_1" "OR-Cluster-21" "II"
"253" 1400164 "chr14" 50342612 50348872 "-" "Olfr735" 50345742 "chr14_1" "OR-Cluster-21" "II"
"254" 1400198 "chr14" 50381163 50394192 "+" "Olfr736" 50387677.5 "chr14_1" "OR-Cluster-21" "II"
"255" 1400249 "chr14" 50407568 50415438 "+" "Olfr738" 50411503 "chr14_1" "OR-Cluster-21" "II"
"256" 1400276 "chr14" 50411178 50411460 "-" "Olfr737-ps1" 50411319 "chr14_1" "OR-Cluster-21" "II"
"257" 1400279 "chr14" 50418626 50427888 "+" "Olfr739" 50423257 "chr14_1" "OR-Cluster-21" "II"
"258" 1400295 "chr14" 50445545 50456933 "+" "Olfr740" 50451239 "chr14_1" "OR-Cluster-21" "II"
"259" 1400311 "chr14" 50472738 50488338 "+" "Olfr741" 50480538 "chr14_1" "OR-Cluster-21" "II"
"260" 1400338 "chr14" 50503600 50517145 "+" "Olfr742" 50510372.5 "chr14_1" "OR-Cluster-21" "II"
"261" 1400366 "chr14" 50521839 50534955 "+" "Olfr743" 50528397 "chr14_1" "OR-Cluster-21" "II"
"262" 1400387 "chr14" 50614879 50619839 "+" "Olfr744" 50617359 "chr14_1" "OR-Cluster-21" "II"
"263" 1400413 "chr14" 50639388 50643885 "+" "Olfr745" 50641636.5 "chr14_1" "OR-Cluster-21" "II"
"264" 1400446 "chr14" 50647083 50654183 "+" "Olfr746" 50650633 "chr14_1" "OR-Cluster-21" "II"
"265" 1400465 "chr14" 50680657 50693206 "-" "Olfr747" 50686931.5 "chr14_1" "OR-Cluster-21" "II"
"266" 1400500 "chr14" 50707373 50713797 "+" "Olfr748" 50710585 "chr14_1" "OR-Cluster-21" "II"
"267" 1400519 "chr14" 50736171 50745094 "-" "Olfr749" 50740632.5 "chr14_1" "OR-Cluster-21" "II"
"268" 1401554 "chr14" 51066301 51074435 "-" "Olfr750" 51070368 "chr14_1" "OR-Cluster-22" "II"
"269" 1403310 "chr14" 52033962 52042459 "-" "Olfr221" 52038210.5 "chr14_1" "OR-Cluster-23" "II"
"270" 1404664 "chr14" 52347495 52356408 "-" "Olfr1513" 52351951.5 "chr14_1" "OR-Cluster-24" "II"
"271" 1404683 "chr14" 52371332 52379168 "-" "Olfr1512" 52375250 "chr14_1" "OR-Cluster-24" "II"
"272" 1404702 "chr14" 52389794 52397379 "-" "Olfr1511" 52393586.5 "chr14_1" "OR-Cluster-24" "II"
"273" 1404720 "chr14" 52409131 52414373 "-" "Olfr1510" 52411752 "chr14_1" "OR-Cluster-24" "II"
"274" 1404754 "chr14" 52442990 52452574 "+" "Olfr1509" 52447782 "chr14_1" "OR-Cluster-24" "II"
"275" 1404811 "chr14" 52458829 52467495 "-" "Olfr1508" 52463162 "chr14_1" "OR-Cluster-24" "II"
"276" 1404831 "chr14" 52488791 52495749 "-" "Olfr1507" 52492270 "chr14_1" "OR-Cluster-24" "II"
"277" 1406503 "chr14" 54278253 54284939 "-" "Olfr49" 54281596 "chr14_1" "OR-Cluster-25" "II"
"278" 1437121 "chr14" 124589055 124589339 "+" "Olfr277-ps1" 124589197 "chr14_3" NA "II"
"279" 1494098 "chr15" 98186013 98195542 "-" "Olfr288" 98190777.5 "chr15_1" "OR-Cluster-26" "II"
"280" 1494126 "chr15" 98206971 98221056 "-" "Olfr287" 98214013.5 "chr15_1" "OR-Cluster-26" "II"
"281" 1494153 "chr15" 98224308 98234450 "-" "Olfr286" 98229379 "chr15_1" "OR-Cluster-26" "II"
"282" 1494224 "chr15" 98309203 98317353 "-" "Olfr285" 98313278 "chr15_1" "OR-Cluster-26" "II"
"283" 1494240 "chr15" 98340022 98340987 "-" "Olfr284" 98340504.5 "chr15_1" "OR-Cluster-26" "II"
"284" 1494253 "chr15" 98377699 98380946 "-" "Olfr283" 98379322.5 "chr15_1" "OR-Cluster-26" "II"
"285" 1494353 "chr15" 98431225 98438638 "+" "Olfr282" 98434931.5 "chr15_1" "OR-Cluster-26" "II"
"286" 1494397 "chr15" 98452588 98460395 "+" "Olfr281" 98456491.5 "chr15_1" "OR-Cluster-26" "II"
"287" 1494416 "chr15" 98469896 98478982 "+" "Olfr240-ps1" 98474439 "chr15_1" "OR-Cluster-26" "II"
"288" 1494442 "chr15" 98492402 98502637 "+" "Olfr279" 98497519.5 "chr15_1" "OR-Cluster-26" "II"
"289" 1494467 "chr15" 98499405 98499642 "+" "Olfr278-ps1" 98499523.5 "chr15_1" "OR-Cluster-26" "II"
"290" 1507293 "chr16" 3591042 3599323 "+" "Olfr161" 3595182.5 "chr16_1" "OR-Cluster-27" "II"
"291" 1507309 "chr16" 3601925 3602858 "+" "Olfr162-ps1" 3602391.5 "chr16_1" "OR-Cluster-27" "II"
"292" 1507312 "chr16" 3617852 3618791 "+" "Olfr163-ps1" 3618321.5 "chr16_1" "OR-Cluster-27" "II"
"293" 1507458 "chr16" 3830878 3844747 "+" "Olfr15" 3837812.5 "chr16_1" "OR-Cluster-27" "II"
"294" 1517158 "chr16" 16672228 16676405 "-" "Olfr19" 16674316.5 "chr16_2" "OR-Cluster-28" "II"
"295" 1524151 "chr16" 19284104 19314064 "-" "Olfr164" 19299084 "chr16_2" "OR-Cluster-29" "II"
"296" 1524174 "chr16" 19406244 19423134 "-" "Olfr165" 19414689 "chr16_2" "OR-Cluster-29" "II"
"297" 1524201 "chr16" 19483694 19489882 "+" "Olfr166" 19486788 "chr16_2" "OR-Cluster-29" "II"
"298" 1524227 "chr16" 19509558 19522266 "-" "Olfr167" 19515912 "chr16_2" "OR-Cluster-29" "II"
"299" 1524246 "chr16" 19529274 19535555 "-" "Olfr168" 19532414.5 "chr16_2" "OR-Cluster-29" "II"
"300" 1524266 "chr16" 19564889 19571809 "-" "Olfr169" 19568349 "chr16_2" "OR-Cluster-29" "II"
"301" 1524308 "chr16" 19605696 19611882 "-" "Olfr170" 19608789 "chr16_2" "OR-Cluster-29" "II"
"302" 1524334 "chr16" 19623930 19629916 "-" "Olfr171" 19626923 "chr16_2" "OR-Cluster-29" "II"
"303" 1551597 "chr16" 58759544 58763176 "-" "Olfr172" 58761360 "chr16_3" "OR-Cluster-30" "II"
"304" 1551614 "chr16" 58795207 58800268 "-" "Olfr173" 58797737.5 "chr16_3" "OR-Cluster-30" "II"
"305" 1551631 "chr16" 58823662 58826782 "-" "Olfr175-ps1" 58825222 "chr16_3" "OR-Cluster-30" "II"
"306" 1551650 "chr16" 58870955 58874768 "-" "Olfr177" 58872861.5 "chr16_3" "OR-Cluster-30" "II"
"307" 1551668 "chr16" 58888308 58892063 "-" "Olfr178" 58890185.5 "chr16_3" "OR-Cluster-30" "II"
"308" 1551693 "chr16" 58914285 58929392 "-" "Olfr180" 58921838.5 "chr16_3" "OR-Cluster-30" "II"
"309" 1551721 "chr16" 58924707 58928755 "-" "Olfr181" 58926731 "chr16_3" "OR-Cluster-30" "II"
"310" 1551758 "chr16" 58960203 58960773 "+" "Olfr182-ps1" 58960488 "chr16_3" "OR-Cluster-30" "II"
"311" 1551761 "chr16" 58995357 59001441 "+" "Olfr183" 58998399 "chr16_3" "OR-Cluster-30" "II"
"312" 1551815 "chr16" 59006586 59007417 "-" "Olfr184-ps1" 59007001.5 "chr16_3" "OR-Cluster-30" "II"
"313" 1551820 "chr16" 59020965 59022861 "-" "Olfr185-ps1" 59021913 "chr16_3" "OR-Cluster-30" "II"
"314" 1551824 "chr16" 59025797 59030291 "-" "Olfr186" 59028044 "chr16_3" "OR-Cluster-30" "II"
"315" 1551850 "chr16" 59035563 59039767 "-" "Olfr187" 59037665 "chr16_3" "OR-Cluster-30" "II"
"316" 1551867 "chr16" 59046861 59054202 "-" "Olfr188-ps1" 59050531.5 "chr16_3" "OR-Cluster-30" "II"
"317" 1551873 "chr16" 59063608 59064411 "-" "Olfr189-ps1" 59064009.5 "chr16_3" "OR-Cluster-30" "II"
"318" 1551876 "chr16" 59067140 59078005 "-" "Olfr190" 59072572.5 "chr16_3" "OR-Cluster-30" "II"
"319" 1551903 "chr16" 59082829 59089822 "-" "Olfr191" 59086325.5 "chr16_3" "OR-Cluster-30" "II"
"320" 1551919 "chr16" 59097981 59101853 "-" "Olfr192" 59099917 "chr16_3" "OR-Cluster-30" "II"
"321" 1551940 "chr16" 59107924 59111881 "-" "Olfr193" 59109902.5 "chr16_3" "OR-Cluster-30" "II"
"322" 1551964 "chr16" 59116537 59121069 "-" "Olfr194" 59118803 "chr16_3" "OR-Cluster-30" "II"
"323" 1551989 "chr16" 59147046 59150777 "+" "Olfr195" 59148911.5 "chr16_3" "OR-Cluster-30" "II"
"324" 1552006 "chr16" 59166647 59170454 "-" "Olfr196" 59168550.5 "chr16_3" "OR-Cluster-30" "II"
"325" 1552022 "chr16" 59185219 59189928 "-" "Olfr197" 59187573.5 "chr16_3" "OR-Cluster-30" "II"
"326" 1552035 "chr16" 59200352 59203533 "-" "Olfr198" 59201942.5 "chr16_3" "OR-Cluster-30" "II"
"327" 1552052 "chr16" 59214134 59219767 "-" "Olfr199" 59216950.5 "chr16_3" "OR-Cluster-30" "II"
"328" 1552069 "chr16" 59255127 59256000 "-" "Olfr200-ps1" 59255563.5 "chr16_3" "OR-Cluster-30" "II"
"329" 1552072 "chr16" 59266113 59272632 "-" "Olfr201" 59269372.5 "chr16_3" "OR-Cluster-30" "II"
"330" 1552088 "chr16" 59283516 59286793 "-" "Olfr202" 59285154.5 "chr16_3" "OR-Cluster-30" "II"
"331" 1552117 "chr16" 59298881 59304413 "+" "Olfr203" 59301647 "chr16_3" "OR-Cluster-30" "II"
"332" 1552132 "chr16" 59310206 59318248 "-" "Olfr204" 59314227 "chr16_3" "OR-Cluster-30" "II"
"333" 1552148 "chr16" 59328005 59331138 "-" "Olfr205" 59329571.5 "chr16_3" "OR-Cluster-30" "II"
"334" 1552165 "chr16" 59344675 59349246 "-" "Olfr206" 59346960.5 "chr16_3" "OR-Cluster-30" "II"
"335" 1552182 "chr16" 59361160 59363993 "-" "Olfr209" 59362576.5 "chr16_3" "OR-Cluster-30" "II"
"336" 1577321 "chr17" 23491331 23492471 "-" "Olfr752-ps1" 23491901 "chr17_1" NA "II"
"337" 1598729 "chr17" 33168447 33180753 "+" "Olfr55" 33174600 "chr17_2" "OR-Cluster-31" "II"
"338" 1598765 "chr17" 33191302 33202506 "+" "Olfr239" 33196904 "chr17_2" "OR-Cluster-31" "II"
"339" 1598790 "chr17" 33211206 33221690 "-" "Olfr1564" 33216448 "chr17_2" "OR-Cluster-31" "II"
"340" 1598854 "chr17" 33264676 33275644 "+" "Olfr63" 33270160 "chr17_2" "OR-Cluster-31" "II"
"341" 1613653 "chr17" 37083871 37088499 "-" "Olfr90" 37086185 "chr17_3" "OR-Cluster-32" "II"
"342" 1613705 "chr17" 37090618 37098278 "-" "Olfr91" 37094448 "chr17_3" "OR-Cluster-32" "II"
"343" 1613730 "chr17" 37110512 37120088 "-" "Olfr92" 37115300 "chr17_3" "OR-Cluster-32" "II"
"344" 1613761 "chr17" 37140423 37161494 "-" "Olfr93" 37150958.5 "chr17_3" "OR-Cluster-32" "II"
"345" 1613790 "chr17" 37168313 37185730 "-" "Olfr753-ps1" 37177021.5 "chr17_3" "OR-Cluster-32" "II"
"346" 1613843 "chr17" 37196425 37200994 "-" "Olfr94" 37198709.5 "chr17_3" "OR-Cluster-32" "II"
"347" 1613862 "chr17" 37207950 37213118 "-" "Olfr95" 37210534 "chr17_3" "OR-Cluster-32" "II"
"348" 1613879 "chr17" 37220146 37226673 "+" "Olfr96" 37223409.5 "chr17_3" "OR-Cluster-32" "II"
"349" 1613905 "chr17" 37230963 37237330 "-" "Olfr97" 37234146.5 "chr17_3" "OR-Cluster-32" "II"
"350" 1613967 "chr17" 37249430 37250891 "+" "Olfr754-ps1" 37250160.5 "chr17_3" "OR-Cluster-32" "II"
"351" 1613971 "chr17" 37262711 37263749 "-" "Olfr98" 37263230 "chr17_3" "OR-Cluster-32" "II"
"352" 1614004 "chr17" 37276648 37278105 "+" "Olfr755-ps1" 37277376.5 "chr17_3" "OR-Cluster-32" "II"
"353" 1614008 "chr17" 37279043 37283460 "-" "Olfr99" 37281251.5 "chr17_3" "OR-Cluster-32" "II"
"354" 1614030 "chr17" 37285142 37286069 "-" "Olfr756-ps1" 37285605.5 "chr17_3" "OR-Cluster-32" "II"
"355" 1614033 "chr17" 37297556 37304313 "-" "Olfr101" 37300934.5 "chr17_3" "OR-Cluster-32" "II"
"356" 1614059 "chr17" 37311795 37317054 "-" "Olfr102" 37314424.5 "chr17_3" "OR-Cluster-32" "II"
"357" 1614076 "chr17" 37334303 37339698 "-" "Olfr103" 37337000.5 "chr17_3" "OR-Cluster-32" "II"
"358" 1614092 "chr17" 37359582 37363993 "+" "Olfr104-ps" 37361787.5 "chr17_3" "OR-Cluster-32" "II"
"359" 1614116 "chr17" 37376812 37377224 "+" "Olfr757-ps1" 37377018 "chr17_3" "OR-Cluster-32" "II"
"360" 1614119 "chr17" 37379033 37386208 "+" "Olfr105-ps" 37382620.5 "chr17_3" "OR-Cluster-32" "II"
"361" 1614135 "chr17" 37387378 37388218 "+" "Olfr758-ps1" 37387798 "chr17_3" "OR-Cluster-32" "II"
"362" 1614138 "chr17" 37390393 37396252 "+" "Olfr106-ps" 37393322.5 "chr17_3" "OR-Cluster-32" "II"
"363" 1614152 "chr17" 37399226 37407477 "+" "Olfr107" 37403351.5 "chr17_3" "OR-Cluster-32" "II"
"364" 1614204 "chr17" 37407834 37408533 "-" "Olfr759-ps1" 37408183.5 "chr17_3" "OR-Cluster-32" "II"
"365" 1614212 "chr17" 37445480 37446517 "+" "Olfr108" 37445998.5 "chr17_3" "OR-Cluster-32" "II"
"366" 1614227 "chr17" 37451433 37452230 "-" "Olfr760-ps1" 37451831.5 "chr17_3" "OR-Cluster-32" "II"
"367" 1614231 "chr17" 37458916 37471590 "+" "Olfr109" 37465253 "chr17_3" "OR-Cluster-32" "II"
"368" 1614298 "chr17" 37492468 37500207 "+" "Olfr110" 37496337.5 "chr17_3" "OR-Cluster-32" "II"
"369" 1614317 "chr17" 37508030 37532449 "+" "Olfr111" 37520239.5 "chr17_3" "OR-Cluster-32" "II"
"370" 1614343 "chr17" 37561668 37569451 "-" "Olfr112" 37565559.5 "chr17_3" "OR-Cluster-32" "II"
"371" 1614393 "chr17" 37573877 37577663 "-" "Olfr113" 37575770 "chr17_3" "OR-Cluster-32" "II"
"372" 1614403 "chr17" 37589233 37592743 "-" "Olfr114" 37590988 "chr17_3" "OR-Cluster-32" "II"
"373" 1614435 "chr17" 37608940 37627109 "-" "Olfr115" 37618024.5 "chr17_3" "OR-Cluster-32" "II"
"374" 1614466 "chr17" 37620577 37627199 "-" "Olfr116" 37623888 "chr17_3" "OR-Cluster-32" "II"
"375" 1614484 "chr17" 37657600 37663782 "-" "Olfr117" 37660691 "chr17_3" "OR-Cluster-32" "II"
"376" 1614517 "chr17" 37666988 37673476 "+" "Olfr118" 37670232 "chr17_3" "OR-Cluster-32" "II"
"377" 1614542 "chr17" 37696564 37702124 "+" "Olfr119" 37699344 "chr17_3" "OR-Cluster-32" "II"
"378" 1614566 "chr17" 37721808 37727220 "+" "Olfr120" 37724514 "chr17_3" "OR-Cluster-32" "II"
"379" 1614582 "chr17" 37748855 37753169 "+" "Olfr121" 37751012 "chr17_3" "OR-Cluster-32" "II"
"380" 1614603 "chr17" 37768607 37773749 "+" "Olfr122" 37771178 "chr17_3" "OR-Cluster-32" "II"
"381" 1614635 "chr17" 37793529 37798134 "+" "Olfr123" 37795831.5 "chr17_3" "OR-Cluster-32" "II"
"382" 1614660 "chr17" 37799888 37808617 "+" "Olfr124" 37804252.5 "chr17_3" "OR-Cluster-32" "II"
"383" 1614705 "chr17" 37832949 37838490 "+" "Olfr125" 37835719.5 "chr17_3" "OR-Cluster-32" "II"
"384" 1614727 "chr17" 37847483 37852057 "+" "Olfr126" 37849770 "chr17_3" "OR-Cluster-32" "II"
"385" 1614764 "chr17" 37900437 37906795 "+" "Olfr127" 37903616 "chr17_3" "OR-Cluster-32" "II"
"386" 1614783 "chr17" 37920548 37926801 "+" "Olfr128" 37923674.5 "chr17_3" "OR-Cluster-32" "II"
"387" 1614813 "chr17" 37952051 37953079 "-" "Olfr761" 37952565 "chr17_3" "OR-Cluster-32" "II"
"388" 1614829 "chr17" 38050857 38060079 "-" "Olfr129" 38055468 "chr17_3" "OR-Cluster-32" "II"
"389" 1614849 "chr17" 38063921 38072790 "+" "Olfr130" 38068355.5 "chr17_3" "OR-Cluster-32" "II"
"390" 1614883 "chr17" 38081624 38088693 "-" "Olfr131" 38085158.5 "chr17_3" "OR-Cluster-32" "II"
"391" 1614926 "chr17" 38129863 38134526 "-" "Olfr132" 38132194.5 "chr17_3" "OR-Cluster-32" "II"
"392" 1614946 "chr17" 38145281 38151269 "+" "Olfr133" 38148275 "chr17_3" "OR-Cluster-32" "II"
"393" 1614983 "chr17" 38171388 38176578 "+" "Olfr134" 38173983 "chr17_3" "OR-Cluster-32" "II"
"394" 1614999 "chr17" 38204335 38210915 "+" "Olfr135" 38207625 "chr17_3" "OR-Cluster-32" "II"
"395" 1615016 "chr17" 38261035 38276410 "+" "Olfr138" 38268722.5 "chr17_3" "OR-Cluster-32" "II"
"396" 1615047 "chr17" 38303527 38307570 "-" "Olfr137" 38305548.5 "chr17_3" "OR-Cluster-32" "II"
"397" 1615066 "chr17" 38313304 38315011 "-" "Olfr762-ps1" 38314157.5 "chr17_3" "OR-Cluster-32" "II"
"398" 1615071 "chr17" 38329831 38336643 "+" "Olfr136" 38333237 "chr17_3" "OR-Cluster-32" "II"
"399" 1690973 "chr19" 11826803 11839219 "-" "Olfr1417" 11833011 "chr19_1" "OR-Cluster-33" "II"
"400" 1690996 "chr19" 11852587 11861066 "-" "Olfr1418" 11856826.5 "chr19_1" "OR-Cluster-33" "II"
"401" 1691018 "chr19" 11868613 11875106 "-" "Olfr1419" 11871859.5 "chr19_1" "OR-Cluster-33" "II"
"402" 1691049 "chr19" 11886565 11898079 "+" "Olfr1420" 11892322 "chr19_1" "OR-Cluster-33" "II"
"403" 1691157 "chr19" 12020175 12020382 "+" "Olfr1421-ps1" 12020278.5 "chr19_1" "OR-Cluster-34" "II"
"404" 1691163 "chr19" 12020614 12021763 "-" "Olfr1422-ps1" 12021188.5 "chr19_1" "OR-Cluster-34" "II"
"405" 1691170 "chr19" 12031787 12041317 "-" "Olfr1423" 12036552 "chr19_1" "OR-Cluster-34" "II"
"406" 1691193 "chr19" 12058624 12062682 "-" "Olfr1424" 12060653 "chr19_1" "OR-Cluster-34" "II"
"407" 1691211 "chr19" 12073234 12077731 "-" "Olfr1425" 12075482.5 "chr19_1" "OR-Cluster-34" "II"
"408" 1691228 "chr19" 12086746 12092013 "-" "Olfr1426" 12089379.5 "chr19_1" "OR-Cluster-34" "II"
"409" 1691304 "chr19" 12098006 12103334 "-" "Olfr1427" 12100670 "chr19_1" "OR-Cluster-34" "II"
"410" 1691333 "chr19" 12107716 12115897 "-" "Olfr1428" 12111806.5 "chr19_1" "OR-Cluster-34" "II"
"411" 1691364 "chr19" 12117996 12123203 "-" "Olfr76" 12120599.5 "chr19_1" "OR-Cluster-34" "II"
"412" 1691398 "chr19" 12164424 12170112 "-" "Olfr1555-ps1" 12167268 "chr19_1" "OR-Cluster-34" "II"
"413" 1691417 "chr19" 12177607 12178523 "-" "Olfr1430-ps1" 12178065 "chr19_1" "OR-Cluster-34" "II"
"414" 1691420 "chr19" 12200634 12212191 "+" "Olfr1431" 12206412.5 "chr19_1" "OR-Cluster-34" "II"
"415" 1691444 "chr19" 12227755 12232596 "-" "Olfr1432" 12230175.5 "chr19_1" "OR-Cluster-34" "II"
"416" 1691457 "chr19" 12240721 12241659 "-" "Olfr262" 12241190 "chr19_1" "OR-Cluster-34" "II"
"417" 1691467 "chr19" 12261032 12270387 "+" "Olfr235" 12265709.5 "chr19_1" "OR-Cluster-34" "II"
"418" 1691528 "chr19" 12279854 12285626 "+" "Olfr1434" 12282740 "chr19_1" "OR-Cluster-34" "II"
"419" 1691552 "chr19" 12290058 12290306 "-" "Olfr1435-ps1" 12290182 "chr19_1" "OR-Cluster-34" "II"
"420" 1691555 "chr19" 12298183 12299130 "-" "Olfr1436" 12298656.5 "chr19_1" "OR-Cluster-34" "II"
"421" 1691565 "chr19" 12319207 12325101 "-" "Olfr1437" 12322154 "chr19_1" "OR-Cluster-34" "II"
"422" 1691582 "chr19" 12329422 12335910 "-" "Olfr1438-ps1" 12332666 "chr19_1" "OR-Cluster-34" "II"
"423" 1691592 "chr19" 12339738 12341130 "-" "Olfr1439-ps1" 12340434 "chr19_1" "OR-Cluster-34" "II"
"424" 1691596 "chr19" 12387279 12401584 "+" "Olfr1440" 12394431.5 "chr19_1" "OR-Cluster-34" "II"
"425" 1691658 "chr19" 12417433 12423569 "+" "Olfr1441" 12420501 "chr19_1" "OR-Cluster-34" "II"
"426" 1691893 "chr19" 12670439 12677277 "+" "Olfr1442" 12673858 "chr19_1" "OR-Cluster-35" "II"
"427" 1691934 "chr19" 12678112 12683851 "+" "Olfr1443" 12680981.5 "chr19_1" "OR-Cluster-35" "II"
"428" 1692161 "chr19" 12857283 12863440 "+" "Olfr1444" 12860361.5 "chr19_1" "OR-Cluster-36" "II"
"429" 1692178 "chr19" 12883855 12884855 "+" "Olfr1445" 12884355 "chr19_1" "OR-Cluster-36" "II"
"430" 1692186 "chr19" 12888266 12893524 "-" "Olfr1446" 12890895 "chr19_1" "OR-Cluster-36" "II"
"431" 1692212 "chr19" 12899434 12903743 "-" "Olfr1447" 12901588.5 "chr19_1" "OR-Cluster-36" "II"
"432" 1692245 "chr19" 12916661 12924419 "-" "Olfr1448" 12920540 "chr19_1" "OR-Cluster-36" "II"
"433" 1692287 "chr19" 12930840 12935752 "+" "Olfr1449" 12933296 "chr19_1" "OR-Cluster-36" "II"
"434" 1692328 "chr19" 12950258 12956406 "+" "Olfr1450" 12953332 "chr19_1" "OR-Cluster-36" "II"
"435" 1692353 "chr19" 12995014 13000417 "+" "Olfr1451" 12997715.5 "chr19_1" "OR-Cluster-36" "II"
"436" 1692369 "chr19" 13016225 13017149 "+" "Olfr1452-ps1" 13016687 "chr19_1" "OR-Cluster-36" "II"
"437" 1692374 "chr19" 13027404 13028327 "-" "Olfr1453" 13027865.5 "chr19_1" "OR-Cluster-36" "II"
"438" 1692381 "chr19" 13060610 13067157 "+" "Olfr1454" 13063883.5 "chr19_1" "OR-Cluster-36" "II"
"439" 1692415 "chr19" 13068907 13069677 "+" "Olfr1455-ps1" 13069292 "chr19_1" "OR-Cluster-36" "II"
"440" 1692418 "chr19" 13078818 13079335 "-" "Olfr1456-ps1" 13079076.5 "chr19_1" "OR-Cluster-36" "II"
"441" 1692421 "chr19" 13093379 13097891 "-" "Olfr1457" 13095635 "chr19_1" "OR-Cluster-36" "II"
"442" 1692456 "chr19" 13101593 13106775 "-" "Olfr1458" 13104184 "chr19_1" "OR-Cluster-36" "II"
"443" 1692474 "chr19" 13138021 13149549 "-" "Olfr1459" 13143785 "chr19_1" "OR-Cluster-36" "II"
"444" 1692497 "chr19" 13158200 13159316 "+" "Olfr1460-ps1" 13158758 "chr19_1" "OR-Cluster-36" "II"
"445" 1692501 "chr19" 13163000 13168130 "+" "Olfr1461" 13165565 "chr19_1" "OR-Cluster-36" "II"
"446" 1692526 "chr19" 13185734 13193775 "+" "Olfr1462" 13189754.5 "chr19_1" "OR-Cluster-36" "II"
"447" 1692542 "chr19" 13231328 13236400 "+" "Olfr1463" 13233864 "chr19_1" "OR-Cluster-36" "II"
"448" 1692558 "chr19" 13282134 13283056 "-" "Olfr1464-ps1" 13282595 "chr19_1" "OR-Cluster-36" "II"
"449" 1692566 "chr19" 13312768 13315541 "-" "Olfr1465" 13314154.5 "chr19_1" "OR-Cluster-36" "II"
"450" 1692582 "chr19" 13338862 13343572 "+" "Olfr1466" 13341217 "chr19_1" "OR-Cluster-36" "II"
"451" 1692598 "chr19" 13362236 13368054 "+" "Olfr1467" 13365145 "chr19_1" "OR-Cluster-36" "II"
"452" 1692616 "chr19" 13371854 13376066 "+" "Olfr1468-ps1" 13373960 "chr19_1" "OR-Cluster-36" "II"
"453" 1692628 "chr19" 13407849 13414540 "+" "Olfr1469" 13411194.5 "chr19_1" "OR-Cluster-36" "II"
"454" 1692644 "chr19" 13434147 13435095 "-" "Olfr1470-ps1" 13434621 "chr19_1" "OR-Cluster-36" "II"
"455" 1692647 "chr19" 13443409 13451527 "+" "Olfr1471" 13447468 "chr19_1" "OR-Cluster-36" "II"
"456" 1692683 "chr19" 13453280 13456086 "-" "Olfr1472" 13454683 "chr19_1" "OR-Cluster-36" "II"
"457" 1692699 "chr19" 13462678 13463635 "-" "Olfr1473-ps1" 13463156.5 "chr19_1" "OR-Cluster-36" "II"
"458" 1692702 "chr19" 13469565 13472157 "+" "Olfr1474" 13470861 "chr19_1" "OR-Cluster-36" "II"
